X1,institute,date_debut,date_fin,methode,interroges,question_id,nspp,base,intentions_exprimees,candidates,percentages,lien,survey_id,certitude,remove,z,sum_z
100,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
101,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
102,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Melenchon,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
103,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Montebourg,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
104,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
105,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Jadot,7,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
106,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Macron,23,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
107,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Pecresse,14,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
108,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
109,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Philippot,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
110,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Le Pen,18,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
111,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Zemmour,14,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,1,7
112,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
113,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
120,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
121,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
122,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
123,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Melenchon,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
124,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
125,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
126,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Jadot,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
127,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
128,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Pecresse,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
129,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
130,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Philippot,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
131,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Le Pen,20,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
132,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Zemmour,13,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,1,7
133,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
134,Harris interactive,2021-11-26,2021-11-29,internet,2071,1,14,I,1781,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9251-p-hi-challenges-v24.pdf,8,NA,0,0,7
143,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Arthaud,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
144,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
145,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
146,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Melenchon,8.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
147,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Hidalgo,6,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
148,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Montebourg,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
149,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Jadot,6.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
150,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Macron,25,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
151,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Pecresse,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
152,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Dupont Aignan,4,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
153,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Le Pen,19.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
154,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Zemmour,15,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,1,7
155,Ifop,2021-11-23,2021-11-25,internet,1351,1,25.7,I,1003,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9249-p-ifop-jdd.pdf,9,NA,0,0,7
158,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Poutou,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
159,Elabe,2021-11-23,2021-11-24,internet,1350,1,13,SV,927,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/novembre/9247-p-elabe-bfmtv.pdf,10,NA,0,0,7
