departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
Sarthe,1995,2,73,378616,74106,0.1957286538339637,0.17874442723861061
Savoie,1995,2,74,249352,49953,0.20033125862234913,0.20074131368084402
Haute Savoie,1995,2,75,385732,78535,0.20359990874493172,0.19760041576954487
Paris,1995,2,76,1168044,311532,0.26671255534894234,0.2312559996060141
Seine Maritime,1995,2,77,831766,169392,0.2036534313737277,0.17753530373400953
Seine et Marne,1995,2,78,691005,168405,0.24371024811687325,0.1847874441258017
Yvelines,1995,2,79,822940,188318,0.2288356380781102,0.17924855461410655
Deux Sèvres,1995,2,80,259259,47609,0.18363489792061222,0.1582539644459372
Somme,1995,2,81,391302,67510,0.17252659071509985,0.14298083583468021
Tarn,1995,2,82,257291,41757,0.1622948334764916,0.14730184033586918
Tarn et Garonne,1995,2,83,151233,26017,0.17203255903142833,0.16110698773984275
Vaucluse,1995,2,84,325377,65507,0.20132646130488632,0.1613356084442121
Vendée,1995,2,85,394215,61937,0.15711477239577387,0.13902981777871679
Vienne,1995,2,86,281401,53594,0.1904541917050757,0.17141327820742355
Haute Vienne,1995,2,87,263199,44722,0.16991705895539116,0.15576939206551327
Vosges,1995,2,88,278909,52907,0.18969269546698028,0.1727013728896092
Yonne,1995,2,89,230305,46336,0.20119406873493845,0.1782042587820426
Territoire de Belfort,1995,2,90,87675,16319,0.18613059595095524,0.18110634890730973
Essonne,1995,2,91,683626,158839,0.23234780420873402,0.18220724722219164
Hauts de Seine,1995,2,92,831254,209587,0.2521335235680069,0.19115376657276098
Seine Saint Denis,1995,2,93,683919,187813,0.27461292930888015,0.2224360400131763
Val de Marne,1995,2,94,692561,169752,0.2451076511671896,0.19971118659174467
Val d'Oise,1995,2,95,611043,148898,0.24367843179612564,0.19088777125761477
Var,1995,2,96,601391,143863,0.23921708173218423,0.18901094041097027
Guadeloupe,1995,2,97,255269,164733,0.6453310037646561,0.5812986220572532
Martinique,1995,2,98,249726,148452,0.5944595276422959,0.42372309654286533
Guyane,1995,2,99,42473,24244,0.5708096908624303,0.4399986761980408
La Réunion,1995,2,100,365512,131219,0.3590005252905513,0.2636472992461264
Aveyron,2002,3,1,214585,46768,0.21794626837849804,0.16562652731305688
Ain,2002,3,2,338220,89002,0.2631482467033292,0.19959969324665325
Aisne,2002,3,3,366810,96157,0.26214388920694637,0.1880657849808705
Allier,2002,3,4,256113,67066,0.26186097542881465,0.1974583814700479
Alpes de Haute Provence,2002,3,5,108943,26555,0.24375131949735182,0.20325586768585016
Hautes Alpes,2002,3,6,95100,23051,0.2423869610935857,0.2028201399925608
Alpes Maritimes,2002,3,7,690348,212274,0.30748839715621684,0.2444114752412709
Ardèche,2002,3,8,219920,52252,0.23759548926882504,0.18913878066907458
Ardennes,2002,3,9,192422,53814,0.27966656619305486,0.2155132038764996
Ariège,2002,3,10,109027,26152,0.23986718886147468,0.1844381202298893
Aube,2002,3,11,193749,50825,0.2623239345751462,0.19519267178106633
Aude,2002,3,12,236852,56867,0.2400950804721936,0.1725412103108751
Bouches du Rhône,2002,3,13,1144969,306821,0.26797319403407427,0.23380032499445416
Calvados,2002,3,14,458073,121583,0.26542276012775257,0.1906732954935259
Cantal,2002,3,15,123827,31265,0.2524893601557011,0.18590345530072735
Charente,2002,3,16,255110,67322,0.26389400650699696,0.20058840627528615
Charente Maritime,2002,3,17,417790,112588,0.2694846693314823,0.21045063286038793
Cher,2002,3,18,228109,60799,0.2665348583352695,0.20508240678469425
Corrèze,2002,3,19,184277,37531,0.2036662198755135,0.14193503084252487
Corse du Sud,2002,3,20,86526,35076,0.40538104153664795,0.3232116428219043
Haute Corse,2002,3,21,104867,44179,0.42128600989825205,0.33554327063983747
Côte d'Or,2002,3,22,330318,80870,0.24482468409229893,0.19712920709103587
Côtes d'Armor,2002,3,23,428856,100904,0.2352864364728487,0.16473415482914028
Creuse,2002,3,24,101812,27941,0.2744371979727341,0.20828725626411848
Dordogne,2002,3,25,303991,72146,0.23732939462023547,0.1690922468317887
Doubs,2002,3,26,334719,78343,0.23405602908708498,0.1818443998551872
Drôme,2002,3,27,309557,78403,0.2532748411439573,0.19925965712956342
Eure,2002,3,28,378328,97453,0.25758865323211605,0.19069776502575606
Eure et Loir,2002,3,29,278123,72820,0.26182660189915974,0.19676319960757183
Finistère,2002,3,30,635596,159032,0.25020925241820274,0.18463641159262753
Gard,2002,3,31,445562,114478,0.2569294508957227,0.19571538018625056
Haute Garonne,2002,3,32,710223,171014,0.2407891605875901,0.18717170992475946
Gers,2002,3,33,135423,30740,0.22699246066030143,0.18032570905763953
Gironde,2002,3,34,867564,245810,0.2833335638638763,0.19745094438995164
Hérault,2002,3,35,632459,162287,0.25659687031096085,0.1947650224712867
Ille et Vilaine,2002,3,36,618329,158264,0.2559543543970928,0.17976602434007305
Indre,2002,3,37,176678,43970,0.24887082715448444,0.19496703511464422
Indre et Loire,2002,3,38,381130,99438,0.26090310392779364,0.20084219077922957
Isère,2002,3,39,708265,185615,0.2620699879282472,0.20234159943399704
Jura,2002,3,40,181347,43777,0.24139908573067104,0.184577573310237
Landes,2002,3,41,258924,65026,0.2511393304599033,0.17352409183519316
Loir et Cher,2002,3,42,232656,58031,0.24942834055429475,0.18354746547009745
Loire,2002,3,43,483976,131647,0.27201142205398615,0.21061567459461014
Haute Loire,2002,3,44,166347,39867,0.2396616710851413,0.18540516546105898
Loire Atlantique,2002,3,45,814585,211622,0.25979118201292684,0.19442174037535467
Loiret,2002,3,46,409310,102601,0.25066819769856585,0.18924239280599567
Lot,2002,3,47,128174,28209,0.22008363630689531,0.15772514127690274
Lot et Garonne,2002,3,48,229022,57671,0.25181423618691656,0.1776740671600329
Lozère,2002,3,49,58828,13311,0.2262698034949344,0.16533508951318002
Maine et Loire,2002,3,50,509959,126952,0.24894550346204303,0.17307005094800038
Manche,2002,3,51,359111,93712,0.26095552628574453,0.18720861476882492
Marne,2002,3,52,372077,109097,0.29321081389067316,0.21999416077514344
Haute Marne,2002,3,53,143665,39961,0.27815403890996415,0.21337708331906208
Mayenne,2002,3,54,214016,53885,0.2517802407296651,0.1668871156073005
Meurthe et Moselle,2002,3,55,469461,136250,0.2902264511855085,0.21437691874608283
Meuse,2002,3,56,138982,37220,0.26780446388740986,0.19581209083033926
Morbihan,2002,3,57,498938,125012,0.2505561813291431,0.1745994439750911
Moselle,2002,3,58,712299,221182,0.31051847608939503,0.21695716164770917
Nièvre,2002,3,59,170396,47261,0.27735979717833753,0.2021529106823681
Nord,2002,3,60,1721362,497146,0.28880967512934524,0.2025887784239062
Oise,2002,3,61,506532,132612,0.2618037952192556,0.18630857203692594
Orne,2002,3,62,214215,54839,0.255999813271713,0.18171650521783891
Pas de Calais,2002,3,63,1048018,281448,0.2685526393630644,0.18522603720303252
