question_id,survey_id,pollster_id,candidate_id,y,t_unit
37,7,3,4,4,20
37,7,3,5,18,20
37,7,3,6,10,20
37,7,3,7,4,20
37,7,3,8,10,20
37,7,3,10,39,20
37,7,3,11,0,20
37,7,3,12,21,20
37,7,3,13,0,20
37,7,3,16,0,20
37,7,3,17,0,20
37,7,3,22,4,20
37,7,3,23,25,20
37,7,3,24,28,20
37,7,3,25,0,20
38,7,3,1,161,20
38,7,3,2,2,20
38,7,3,3,2,20
38,7,3,4,4,20
38,7,3,5,18,20
38,7,3,6,10,20
38,7,3,7,4,20
38,7,3,8,12,20
38,7,3,10,41,20
38,7,3,11,0,20
38,7,3,13,0,20
38,7,3,14,18,20
38,7,3,16,0,20
38,7,3,17,0,20
38,7,3,22,4,20
38,7,3,23,25,20
38,7,3,24,28,20
38,7,3,25,0,20
39,7,3,1,170,20
39,7,3,2,2,20
39,7,3,3,2,20
39,7,3,4,4,20
39,7,3,5,19,20
39,7,3,6,11,20
39,7,3,7,4,20
39,7,3,8,12,20
39,7,3,10,46,20
39,7,3,11,0,20
39,7,3,13,0,20
39,7,3,15,12,20
39,7,3,16,0,20
39,7,3,17,0,20
39,7,3,22,4,20
39,7,3,23,28,20
39,7,3,24,31,20
39,7,3,25,0,20
40,7,3,1,362,20
40,7,3,10,200,20
40,7,3,24,163,20
41,7,3,1,319,20
41,7,3,10,170,20
41,7,3,23,150,20
42,7,3,1,415,20
42,7,3,10,212,20
42,7,3,12,204,20
43,7,3,1,447,20
43,7,3,10,255,20
43,7,3,14,193,20
44,7,3,1,404,20
44,7,3,5,150,20
44,7,3,10,255,20
63,8,3,1,158,17
63,8,3,2,2,17
63,8,3,3,2,17
63,8,3,4,2,17
63,8,3,5,21,17
63,8,3,6,12,17
63,8,3,7,4,17
63,8,3,8,10,17
63,8,3,10,37,17
63,8,3,11,0,17
63,8,3,12,23,17
63,8,3,13,0,17
63,8,3,16,0,17
63,8,3,17,0,17
63,8,3,22,4,17
63,8,3,23,26,17
63,8,3,24,21,17
63,8,3,25,2,17
64,8,3,1,169,17
64,8,3,2,2,17
64,8,3,3,2,17
64,8,3,4,4,17
64,8,3,5,22,17
64,8,3,6,12,17
64,8,3,7,4,17
64,8,3,8,11,17
64,8,3,10,41,17
64,8,3,11,0,17
64,8,3,13,0,17
64,8,3,14,21,17
64,8,3,16,0,17
64,8,3,17,0,17
64,8,3,22,4,17
64,8,3,23,27,17
64,8,3,24,22,17
64,8,3,25,2,17
65,8,3,1,189,17
65,8,3,2,2,17
65,8,3,3,2,17
65,8,3,4,4,17
65,8,3,5,25,17
65,8,3,6,14,17
65,8,3,7,4,17
65,8,3,8,12,17
65,8,3,10,50,17
65,8,3,11,0,17
65,8,3,13,0,17
65,8,3,15,16,17
65,8,3,16,0,17
65,8,3,17,0,17
65,8,3,22,6,17
65,8,3,23,31,17
65,8,3,24,27,17
65,8,3,25,2,17
66,8,3,1,357,17
66,8,3,10,193,17
66,8,3,23,165,17
78,9,3,1,155,15
78,9,3,2,2,15
78,9,3,3,2,15
78,9,3,4,5,15
78,9,3,5,17,15
78,9,3,6,11,15
78,9,3,7,4,15
78,9,3,8,10,15
78,9,3,10,36,15
78,9,3,11,0,15
78,9,3,12,22,15
78,9,3,13,0,15
78,9,3,16,0,15
78,9,3,17,0,15
78,9,3,22,4,15
78,9,3,23,28,15
78,9,3,24,17,15
78,9,3,25,2,15
79,9,3,1,164,15
79,9,3,2,2,15
79,9,3,3,2,15
79,9,3,4,5,15
79,9,3,5,19,15
79,9,3,6,14,15
79,9,3,7,7,15
79,9,3,9,4,15
79,9,3,10,38,15
79,9,3,11,0,15
79,9,3,12,25,15
79,9,3,13,0,15
79,9,3,16,0,15
79,9,3,17,0,15
79,9,3,22,4,15
79,9,3,23,30,15
79,9,3,24,19,15
79,9,3,25,2,15
80,9,3,1,184,15
80,9,3,2,2,15
80,9,3,3,2,15
80,9,3,4,6,15
80,9,3,5,21,15
80,9,3,6,13,15
80,9,3,7,6,15
80,9,3,8,12,15
80,9,3,10,43,15
80,9,3,11,0,15
80,9,3,13,0,15
80,9,3,14,23,15
80,9,3,16,0,15
80,9,3,17,0,15
80,9,3,22,4,15
80,9,3,23,35,15
80,9,3,24,21,15
80,9,3,25,2,15
81,9,3,1,339,15
81,9,3,10,186,15
81,9,3,23,153,15
83,10,3,1,192,13
83,10,3,2,2,13
83,10,3,3,2,13
83,10,3,4,6,13
83,10,3,5,22,13
83,10,3,6,14,13
83,10,3,8,14,13
83,10,3,10,47,13
83,10,3,11,2,13
